pathway,source_database,n_original_pathway_genes,n_shared_cd4_cd8_genes,n_genept_mappable_genes,n_primary_paired_genes,expression_coverage_cd4,expression_coverage_cd8,primary_gene_set_identical,vanilla_raw_p,genept_raw_p,embedding_rank,projected_rank,vanilla_adjusted_p,vanilla_qval,genept_adjusted_p,genept_qval,vanilla_rank,genept_rank,rank_delta,l2_raw_p,l2_adjusted_p,l2_qval,l2_rank
KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG,58,27,58,27,1.0,1.0,True,0.0034223189265975,0.0233436169134307,27,22,0.420945227971492,0.613004412282997,1.0,0.0,23,25,2,0.999999999774808,1.0,0.0,22.0
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,REACTOME,21,21,21,21,1.0,1.0,True,0.0034223189265975,0.00577645522630862,21,20,0.420945227971492,0.613004412282997,0.71050399283596,0.385270654364906,24,17,-7,0.999995656736981,1.0,0.0,63.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK,200,198,200,198,1.0,1.0,True,0.00577645522630862,3.59717677613814e-08,197,196,0.71050399283596,0.385270654364906,4.42452743464991e-06,2.31389997788891,25,2,-23,0.0233436169134307,1.0,0.0,19.0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG,34,27,34,27,1.0,1.0,True,0.00577645522630862,0.179741341532766,27,24,0.71050399283596,0.385270654364906,1.0,0.0,26,29,3,0.351986208769717,1.0,0.0,27.0
REACTOME_DISEASES_OF_METABOLISM,REACTOME,246,168,245,168,1.0,1.0,True,0.00577645522630862,0.0150822934297104,166,144,0.71050399283596,0.385270654364906,1.0,0.0,27,71,44,0.0513887607461245,1.0,0.0,71.0
REACTOME_GLYCOLYSIS,REACTOME,72,64,72,64,1.0,1.0,True,0.00577645522630862,0.230392335941705,63,63,0.71050399283596,0.385270654364906,1.0,0.0,28,79,51,0.000313688994347936,0.0385837463047961,1.18894726823464,6.0
REACTOME_NUCLEOBASE_CATABOLISM,REACTOME,36,27,36,27,1.0,1.0,True,0.00577645522630862,0.0010996776918826,27,26,0.71050399283596,0.385270654364906,0.13526035610156,0.932110226066041,29,11,-18,0.562150599897062,1.0,0.0,99.0
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME,100,99,91,90,0.5603256315439195,0.5771931543373616,True,0.00577645522630862,0.136726085875245,90,90,0.71050399283596,0.385270654364906,1.0,0.0,30,105,75,0.0233436169134307,1.0,0.0,106.0
HALLMARK_BILE_ACID_METABOLISM,HALLMARK,112,80,112,80,1.0,1.0,True,0.0233436169134307,0.351986208769717,80,75,1.0,0.0,1.0,0.0,31,21,-10,0.0513887607461245,1.0,0.0,17.0
HALLMARK_GLYCOLYSIS,HALLMARK,200,167,200,167,1.0,1.0,True,0.101341801629482,0.000160158462101912,166,145,1.0,0.0,0.0196994908385352,1.30596515981639,32,4,-28,0.0010996776918826,0.13526035610156,0.932110226066041,10.0
HALLMARK_HEME_METABOLISM,HALLMARK,200,166,198,166,1.0,1.0,True,0.0513887607461245,0.230392335941705,166,147,1.0,0.0,1.0,0.0,33,22,-11,0.136726085875245,1.0,0.0,18.0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,32,25,32,25,1.0,1.0,True,0.562150599897062,0.94372001658599,23,18,1.0,0.0,1.0,0.0,34,23,-11,1.0,1.0,0.0,20.0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG,44,41,44,41,1.0,1.0,True,0.0731481276708723,0.179741341532766,40,39,1.0,0.0,1.0,0.0,35,24,-11,0.288162930520753,1.0,0.0,21.0
KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG,54,42,54,42,1.0,1.0,True,0.230392335941705,0.00577645522630862,41,40,1.0,0.0,0.71050399283596,0.385270654364906,36,16,-20,0.136726085875245,1.0,0.0,23.0
KEGG_BETA_ALANINE_METABOLISM,KEGG,22,20,22,20,1.0,1.0,True,0.0351222601892017,0.00946978291842922,20,17,1.0,0.0,1.0,0.0,37,26,-11,0.999999983078982,1.0,0.0,24.0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG,22,19,22,19,1.0,1.0,True,0.0513887607461245,0.0233436169134307,19,18,1.0,0.0,1.0,0.0,38,27,-11,1.0,1.0,0.0,25.0
KEGG_BUTANOATE_METABOLISM,KEGG,34,27,34,27,1.0,1.0,True,0.00946978291842922,0.351986208769717,26,24,1.0,0.0,1.0,0.0,39,28,-11,0.998724216773701,1.0,0.0,26.0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,KEGG,51,21,51,21,1.0,1.0,True,0.351986208769717,0.101341801629482,20,19,1.0,0.0,1.0,0.0,40,30,-10,0.999999999999496,1.0,0.0,29.0
KEGG_ETHER_LIPID_METABOLISM,KEGG,33,19,33,19,1.0,1.0,True,0.993445062647761,0.999303153456956,19,17,1.0,0.0,1.0,0.0,41,31,-10,1.0,1.0,0.0,30.0
KEGG_FATTY_ACID_METABOLISM,KEGG,42,33,42,33,1.0,1.0,True,0.0233436169134307,0.0233436169134307,32,32,1.0,0.0,1.0,0.0,42,32,-10,0.0351222601892017,1.0,0.0,31.0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG,34,29,34,29,1.0,1.0,True,0.420283707542506,0.562150599897062,29,29,1.0,0.0,1.0,0.0,43,33,-10,0.999978425151953,1.0,0.0,32.0
KEGG_GALACTOSE_METABOLISM,KEGG,26,21,26,21,1.0,1.0,True,0.0731481276708723,0.0731481276708723,21,20,1.0,0.0,1.0,0.0,44,34,-10,0.999999999999865,1.0,0.0,33.0
KEGG_GLUTATHIONE_METABOLISM,KEGG,50,35,49,35,1.0,1.0,True,0.0731481276708723,0.101341801629482,35,33,1.0,0.0,1.0,0.0,45,35,-10,0.101341801629482,1.0,0.0,34.0
KEGG_GLYCEROLIPID_METABOLISM,KEGG,49,40,49,40,1.0,1.0,True,0.288162930520753,0.562150599897062,40,35,1.0,0.0,1.0,0.0,46,36,-10,0.993445062647761,1.0,0.0,35.0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,77,59,76,58,0.9932160227800109,0.9917662986607975,True,0.631270397757246,0.101341801629482,57,53,1.0,0.0,1.0,0.0,47,37,-10,0.49107566468588,1.0,0.0,36.0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG,31,25,31,25,1.0,1.0,True,1.0,1.0,25,19,1.0,0.0,1.0,0.0,48,38,-10,1.0,1.0,0.0,37.0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,62,42,62,42,1.0,1.0,True,0.0233436169134307,0.0150822934297104,42,41,1.0,0.0,1.0,0.0,49,39,-10,0.00196887460329715,0.242171576205549,0.784778205325666,13.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG,22,18,22,18,1.0,1.0,True,0.755786128119809,0.974075350370635,18,17,1.0,0.0,1.0,0.0,50,40,-10,0.999999999999496,1.0,0.0,38.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,KEGG,26,17,26,17,1.0,1.0,True,0.999999999999998,0.999999999999496,17,15,1.0,0.0,1.0,0.0,51,41,-10,1.0,1.0,0.0,39.0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG,21,17,21,17,1.0,1.0,True,0.631270397757246,0.8532336682836,16,16,1.0,0.0,1.0,0.0,52,42,-10,1.0,1.0,0.0,40.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,KEGG,26,18,26,18,1.0,1.0,True,1.0,0.999999999999998,18,15,1.0,0.0,1.0,0.0,53,43,-10,1.0,1.0,0.0,41.0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,KEGG,25,24,25,24,1.0,1.0,True,0.288162930520753,0.136726085875245,24,23,1.0,0.0,1.0,0.0,54,44,-10,0.999995656736981,1.0,0.0,42.0
KEGG_HISTIDINE_METABOLISM,KEGG,29,21,29,21,1.0,1.0,True,0.755786128119809,0.696379525408901,21,16,1.0,0.0,1.0,0.0,55,45,-10,1.0,1.0,0.0,43.0
KEGG_INOSITOL_PHOSPHATE_METABOLISM,KEGG,54,50,54,50,1.0,1.0,True,0.0150822934297104,0.00946978291842922,50,46,1.0,0.0,1.0,0.0,56,46,-10,0.101341801629482,1.0,0.0,44.0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,KEGG,24,19,24,19,1.0,1.0,True,0.420283707542506,0.562150599897062,19,18,1.0,0.0,1.0,0.0,57,47,-10,1.0,1.0,0.0,46.0
KEGG_NITROGEN_METABOLISM,KEGG,23,17,23,17,1.0,1.0,True,0.974075350370635,0.989331698428969,16,12,1.0,0.0,1.0,0.0,58,48,-10,1.0,1.0,0.0,47.0
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG,131,119,118,107,0.5860374622569854,0.6004032207343746,True,0.179741341532766,0.00196887460329715,107,102,1.0,0.0,0.242171576205549,0.784778205325666,59,13,-46,0.0731481276708723,1.0,0.0,48.0
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,27,22,27,22,1.0,1.0,True,0.136726085875245,0.890501459250417,22,22,1.0,0.0,1.0,0.0,60,49,-11,0.999978425151953,1.0,0.0,49.0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG,41,20,41,20,1.0,1.0,True,0.0233436169134307,0.0351222601892017,20,18,1.0,0.0,1.0,0.0,61,50,-11,0.999303153456956,1.0,0.0,50.0
KEGG_PYRIMIDINE_METABOLISM,KEGG,98,92,96,90,0.9685268510694891,0.9673068584643941,True,0.101341801629482,0.00946978291842922,88,86,1.0,0.0,1.0,0.0,62,52,-10,0.420283707542506,1.0,0.0,52.0
KEGG_PYRUVATE_METABOLISM,KEGG,40,33,40,33,1.0,1.0,True,0.00946978291842922,0.420283707542506,33,33,1.0,0.0,1.0,0.0,63,53,-10,0.0513887607461245,1.0,0.0,53.0
KEGG_RETINOL_METABOLISM,KEGG,64,17,64,17,1.0,1.0,True,0.961267416710618,0.989331698428969,17,14,1.0,0.0,1.0,0.0,64,54,-10,1.0,1.0,0.0,54.0
KEGG_SELENOAMINO_ACID_METABOLISM,KEGG,26,22,26,22,1.0,1.0,True,0.230392335941705,0.101341801629482,22,20,1.0,0.0,1.0,0.0,65,55,-10,0.999999993977795,1.0,0.0,55.0
KEGG_SPHINGOLIPID_METABOLISM,KEGG,39,33,38,32,0.9868817887682015,0.9856041601884694,True,0.696379525408901,0.920433755749286,32,26,1.0,0.0,1.0,0.0,66,56,-10,0.999999999305237,1.0,0.0,56.0
KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG,52,21,52,21,1.0,1.0,True,0.0233436169134307,0.136726085875245,21,20,1.0,0.0,1.0,0.0,67,57,-10,0.999999999305237,1.0,0.0,57.0
KEGG_TRYPTOPHAN_METABOLISM,KEGG,40,24,40,24,1.0,1.0,True,0.0233436169134307,0.0513887607461245,23,18,1.0,0.0,1.0,0.0,68,58,-10,1.0,1.0,0.0,58.0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME,43,23,43,23,1.0,1.0,True,0.996087934623775,0.983130561728571,23,19,1.0,0.0,1.0,0.0,69,60,-9,1.0,1.0,0.0,61.0
REACTOME_BIOLOGICAL_OXIDATIONS,REACTOME,221,113,218,113,1.0,1.0,True,0.136726085875245,0.0150822934297104,111,95,1.0,0.0,1.0,0.0,70,61,-9,0.00196887460329715,0.242171576205549,0.784778205325666,14.0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,REACTOME,78,67,78,67,1.0,1.0,True,0.562150599897062,0.0351222601892017,66,66,1.0,0.0,1.0,0.0,71,62,-9,0.0513887607461245,1.0,0.0,62.0
REACTOME_CHOLESTEROL_BIOSYNTHESIS,REACTOME,25,25,25,25,1.0,1.0,True,0.562150599897062,0.101341801629482,25,25,1.0,0.0,1.0,0.0,72,63,-9,0.993445062647761,1.0,0.0,64.0
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,REACTOME,50,34,50,34,1.0,1.0,True,0.0150822934297104,0.351986208769717,33,29,1.0,0.0,1.0,0.0,73,64,-9,0.997732715824954,1.0,0.0,65.0
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,REACTOME,22,22,22,22,1.0,1.0,True,0.0150822934297104,0.0150822934297104,22,22,1.0,0.0,1.0,0.0,74,65,-9,0.920433755749286,1.0,0.0,66.0
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,REACTOME,67,32,67,32,1.0,1.0,True,0.00946978291842922,0.101341801629482,32,25,1.0,0.0,1.0,0.0,75,66,-9,1.0,1.0,0.0,67.0
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,REACTOME,22,20,22,20,1.0,1.0,True,0.808288747360044,0.8532336682836,20,19,1.0,0.0,1.0,0.0,76,67,-9,0.999999999999991,1.0,0.0,68.0
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,REACTOME,41,26,41,26,1.0,1.0,True,0.997732715824954,0.974075350370635,26,19,1.0,0.0,1.0,0.0,77,68,-9,1.0,1.0,0.0,69.0
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,REACTOME,18,18,18,18,1.0,1.0,True,0.49107566468588,0.351986208769717,18,18,1.0,0.0,1.0,0.0,78,69,-9,0.999999999999865,1.0,0.0,70.0
REACTOME_FATTY_ACID_METABOLISM,REACTOME,177,136,177,136,1.0,1.0,True,0.420283707542506,0.101341801629482,135,121,1.0,0.0,1.0,0.0,79,72,-7,0.179741341532766,1.0,0.0,72.0
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,REACTOME,37,31,37,31,1.0,1.0,True,0.136726085875245,0.179741341532766,31,29,1.0,0.0,1.0,0.0,80,73,-7,0.983130561728571,1.0,0.0,73.0
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,REACTOME,30,21,30,21,1.0,1.0,True,0.0150822934297104,0.0150822934297104,21,19,1.0,0.0,1.0,0.0,81,74,-7,0.696379525408901,1.0,0.0,74.0
REACTOME_GLUCOSE_METABOLISM,REACTOME,92,80,92,80,1.0,1.0,True,0.0233436169134307,0.0150822934297104,79,79,1.0,0.0,1.0,0.0,82,76,-6,0.00059618767048381,0.0733310834695086,1.06522856619588,7.0
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,REACTOME,128,97,127,96,0.99632354228613,0.9955930924001268,True,0.179741341532766,0.696379525408901,94,88,1.0,0.0,1.0,0.0,83,77,-6,0.230392335941705,1.0,0.0,76.0
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,REACTOME,45,37,44,36,0.9914961978507112,0.9911813403294576,True,0.288162930520753,0.420283707542506,36,33,1.0,0.0,1.0,0.0,84,80,-4,0.999303153456956,1.0,0.0,78.0
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,REACTOME,31,23,31,23,1.0,1.0,True,0.0513887607461245,0.351986208769717,23,21,1.0,0.0,1.0,0.0,85,81,-4,0.998724216773701,1.0,0.0,79.0
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,REACTOME,55,33,55,33,1.0,1.0,True,0.983130561728571,0.989331698428969,33,28,1.0,0.0,1.0,0.0,86,82,-4,1.0,1.0,0.0,80.0
REACTOME_HS_GAG_BIOSYNTHESIS,REACTOME,31,17,31,17,1.0,1.0,True,1.0,1.0,17,13,1.0,0.0,1.0,0.0,87,83,-4,1.0,1.0,0.0,81.0
REACTOME_INOSITOL_PHOSPHATE_METABOLISM,REACTOME,48,42,48,42,1.0,1.0,True,0.179741341532766,0.631270397757246,42,38,1.0,0.0,1.0,0.0,88,84,-4,0.179741341532766,1.0,0.0,82.0
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,REACTOME,28,19,28,19,1.0,1.0,True,0.230392335941705,0.808288747360044,19,15,1.0,0.0,1.0,0.0,89,85,-4,0.999999999999965,1.0,0.0,84.0
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,REACTOME,36,20,36,20,1.0,1.0,True,0.996087934623775,0.999630586025759,20,16,1.0,0.0,1.0,0.0,90,86,-4,1.0,1.0,0.0,86.0
REACTOME_METABOLISM_OF_COFACTORS,REACTOME,19,19,19,19,1.0,1.0,True,0.179741341532766,0.0351222601892017,19,19,1.0,0.0,1.0,0.0,91,87,-4,0.631270397757246,1.0,0.0,88.0
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,REACTOME,48,26,48,26,1.0,1.0,True,0.998724216773701,0.999809962501969,26,20,1.0,0.0,1.0,0.0,92,88,-4,1.0,1.0,0.0,89.0
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,REACTOME,17,15,17,15,1.0,1.0,True,0.999999999999496,0.999999999929255,15,14,1.0,0.0,1.0,0.0,93,89,-4,1.0,1.0,0.0,90.0
REACTOME_METABOLISM_OF_NUCLEOTIDES,REACTOME,99,85,98,84,0.993885784668712,0.9906462821969533,True,0.49107566468588,0.0150822934297104,82,81,1.0,0.0,1.0,0.0,94,90,-4,0.00196887460329715,0.242171576205549,0.784778205325666,15.0
REACTOME_METABOLISM_OF_POLYAMINES,REACTOME,59,58,59,58,1.0,1.0,True,0.0731481276708723,0.00059618767048381,58,57,1.0,0.0,0.0733310834695086,1.06522856619588,95,10,-85,0.230392335941705,1.0,0.0,91.0
REACTOME_METABOLISM_OF_PORPHYRINS,REACTOME,26,18,26,18,1.0,1.0,True,0.999905146038811,0.993445062647761,18,17,1.0,0.0,1.0,0.0,96,91,-5,1.0,1.0,0.0,92.0
REACTOME_METABOLISM_OF_STEROID_HORMONES,REACTOME,35,21,35,21,1.0,1.0,True,0.0513887607461245,0.101341801629482,21,17,1.0,0.0,1.0,0.0,97,92,-5,1.0,1.0,0.0,93.0
REACTOME_METABOLISM_OF_STEROIDS,REACTOME,151,114,150,113,0.9784608977497307,0.9821171425358438,True,0.0351222601892017,0.136726085875245,112,103,1.0,0.0,1.0,0.0,98,93,-5,0.00946978291842922,1.0,0.0,94.0
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,REACTOME,189,145,189,145,1.0,1.0,True,0.420283707542506,0.0351222601892017,145,135,1.0,0.0,1.0,0.0,99,94,-5,0.179741341532766,1.0,0.0,95.0
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,REACTOME,123,101,123,101,1.0,1.0,True,0.136726085875245,0.0233436169134307,101,97,1.0,0.0,1.0,0.0,100,95,-5,0.101341801629482,1.0,0.0,96.0
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,REACTOME,37,31,37,31,1.0,1.0,True,0.00946978291842922,0.0233436169134307,30,29,1.0,0.0,1.0,0.0,101,96,-5,0.696379525408901,1.0,0.0,97.0
REACTOME_NICOTINATE_METABOLISM,REACTOME,31,24,31,24,1.0,1.0,True,0.0513887607461245,0.0731481276708723,24,23,1.0,0.0,1.0,0.0,102,97,-5,0.999809962501969,1.0,0.0,98.0
REACTOME_PEROXISOMAL_LIPID_METABOLISM,REACTOME,29,26,29,26,1.0,1.0,True,0.0150822934297104,0.0351222601892017,26,24,1.0,0.0,1.0,0.0,103,99,-4,0.999999993977795,1.0,0.0,100.0
REACTOME_PHOSPHOLIPID_METABOLISM,REACTOME,211,171,210,170,0.9982153574555831,0.9978090427123208,True,0.0233436169134307,0.0150822934297104,166,158,1.0,0.0,1.0,0.0,104,100,-4,0.0351222601892017,1.0,0.0,101.0
REACTOME_PI_METABOLISM,REACTOME,84,75,84,75,1.0,1.0,True,0.00946978291842922,0.101341801629482,73,71,1.0,0.0,1.0,0.0,105,101,-4,0.230392335941705,1.0,0.0,102.0
REACTOME_PYRUVATE_METABOLISM,REACTOME,31,26,31,26,1.0,1.0,True,0.00946978291842922,0.288162930520753,26,26,1.0,0.0,1.0,0.0,106,102,-4,0.00577645522630862,0.71050399283596,0.385270654364906,16.0
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,REACTOME,55,50,55,50,1.0,1.0,True,0.136726085875245,0.101341801629482,50,50,1.0,0.0,1.0,0.0,107,103,-4,0.0731481276708723,1.0,0.0,103.0
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,REACTOME,55,55,54,54,0.9579383306533623,0.9656275381367885,True,0.0150822934297104,0.101341801629482,54,53,1.0,0.0,1.0,0.0,108,104,-4,0.0351222601892017,1.0,0.0,104.0
