scope,scenario,strength,method,n,recall_at_3_mean,recall_at_3_sd,recall_at_5_mean,recall_at_5_sd,recall_at_10_mean,recall_at_10_sd,average_precision_mean,average_precision_sd,ndcg_at_3_mean,ndcg_at_3_sd,ndcg_at_5_mean,ndcg_at_5_sd,ndcg_at_10_mean,ndcg_at_10_sd
scenario_strength,mixed_direction,1.0,vanilla_scpa,220,0.4529888167388168,0.1845185873727928,0.567020202020202,0.2124296179534138,0.6940349927849928,0.20891623651423433,0.6673208667416615,0.1774866937201626,0.787608273878876,0.24919102056212175,0.719036885587806,0.21508121133783503,0.7243839885394455,0.1823344841623712
all_non_null,ALL_NON_NULL,ALL,genept_scpa,1320,0.3691414141414141,0.22994991287035801,0.4629157647907648,0.25517038596464536,0.6031724987974988,0.2617298642455414,0.5541004385399261,0.2382612953773942,0.6161000034657396,0.3294115904808939,0.5715627420520967,0.28393099523786197,0.6050650032210869,0.2591606237741926
truth_fallback,NO_FALLBACK,ALL,genept_scpa,800,0.33468005952380947,0.21230806966445065,0.43995684523809525,0.2594926334909174,0.5949563492063492,0.272688104563503,0.5430170927668828,0.24446542861156725,0.5925077929786978,0.33087464794292093,0.5602582477276394,0.29462948142261497,0.5921227794363877,0.2687581282548068
truth_fallback,FALLBACK,ALL,genept_scpa,520,0.4221588827838828,0.24564924790382095,0.49823717948717944,0.2444386529754085,0.615812728937729,0.24362806826949085,0.5711517397292231,0.22756652117897494,0.6523957119073421,0.3241234328304721,0.5889542717820309,0.2659756414037851,0.6249761167360086,0.24256555625534093
scenario,null,ALL,genept_scpa,220,0.19686507936507938,0.18042560078932565,0.2788275613275613,0.18692292965627028,0.4836038961038961,0.2678074907570408,0.33725652628154323,0.1381712454704255,0.31884360332981276,0.26636306139301047,0.31628213794007665,0.20116513075780726,0.397220653192241,0.20230109035480381
scenario_strength,null,0.0,genept_scpa,220,0.19686507936507938,0.18042560078932565,0.2788275613275613,0.18692292965627028,0.4836038961038961,0.2678074907570408,0.33725652628154323,0.1381712454704255,0.31884360332981276,0.26636306139301047,0.31628213794007665,0.20116513075780726,0.397220653192241,0.20230109035480381
scenario,mean_shift,ALL,genept_scpa,440,0.4608125901875902,0.2125450923465535,0.5941838023088022,0.23005626335550908,0.7391405122655121,0.22608479004859136,0.6988713053716628,0.21373339168427544,0.7746579791399839,0.2562846119245139,0.7304430194450516,0.23029648150149165,0.7526948189694278,0.2090809673463388
scenario_strength,mean_shift,0.5,genept_scpa,220,0.443255772005772,0.23347999817797632,0.5399837662337662,0.22803306542894394,0.6967243867243866,0.25251663516518,0.6474821512216253,0.2187902686067909,0.7297620023032064,0.27390575642412923,0.6716454951840624,0.23916315294645973,0.707442515112772,0.22861880706365384
scenario_strength,mean_shift,1.0,genept_scpa,220,0.47836940836940844,0.188215049154213,0.6483838383838384,0.21952732124850718,0.7815566378066379,0.18730383477981197,0.7502604595217002,0.19595287598254052,0.8195539559767613,0.22932390389702753,0.7892405437060409,0.2053539161102662,0.7979471228260836,0.17677248356962844
scenario,cell_subset,ALL,genept_scpa,440,0.26072691197691195,0.21357565190506875,0.3453841991341991,0.25617002305133674,0.5008811327561328,0.28755415203115003,0.4118321642303211,0.2092178038349339,0.4124939290626307,0.30995818977926426,0.4006770010755362,0.27182938785690286,0.4580246801119735,0.26187936053371536
scenario_strength,cell_subset,0.5,genept_scpa,220,0.24823773448773448,0.222983045615908,0.33329725829725826,0.2611491851199798,0.4907016594516594,0.29080409651137934,0.4026939711472154,0.2170640910061438,0.39344896061596374,0.32087787849095833,0.3871449990505074,0.2798777755021852,0.4468934728957689,0.2697197375186622
scenario_strength,cell_subset,1.0,genept_scpa,220,0.27321608946608944,0.20347624337894019,0.35747113997114005,0.251104342517491,0.5110606060606061,0.28456481946154116,0.4209703573134268,0.20114536054922594,0.43153889750929775,0.29815349447939776,0.4142090031005651,0.26347744373491283,0.4691558873281781,0.25392336912139246
scenario,mixed_direction,ALL,genept_scpa,440,0.38588474025974023,0.2181687568604683,0.44917929292929293,0.21395944834138655,0.5694958513708513,0.20460805409946026,0.5515978460177942,0.19952673646976085,0.6611481021946041,0.3090190083620172,0.5835682056357019,0.24612326327429251,0.6044755105818593,0.2144489686576842
scenario_strength,mixed_direction,0.5,genept_scpa,220,0.32380772005772007,0.24039431862390706,0.37511724386724393,0.2333095972318823,0.49991161616161617,0.22376740732560413,0.4734685307856505,0.21268472374010539,0.5369991105847144,0.3239468050314008,0.479844645421917,0.2619248620289446,0.5188179705801899,0.2390386348490877
scenario_strength,mixed_direction,1.0,genept_scpa,220,0.44796176046176045,0.17286069539282448,0.523241341991342,0.16221125289016203,0.6390800865800864,0.1553063761639752,0.6297271612499379,0.14934759660827224,0.7852970938044936,0.23561260691939098,0.6872917658494869,0.17666320535512878,0.6901330505835286,0.1424984527566369
